filename,file_path,blood_type,fingerprint_type,confidence,P_Arc,P_Whorl,P_Loop
augmented_cluster_7_4139.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4139.BMP,O-,Whorl,0.33544284,0.33235192,0.33544284,0.3322053
augmented_cluster_7_4448.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4448.BMP,O-,Arc,0.35829732,0.35829732,0.3265638,0.3151389
augmented_cluster_7_429.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_429.BMP,O-,Loop,0.3732734,0.26013434,0.36659232,0.3732734
augmented_cluster_7_413.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_413.BMP,O-,Arc,0.35842144,0.35842144,0.3452206,0.29635796
augmented_cluster_7_4193.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4193.BMP,O-,Arc,0.3844266,0.3844266,0.31705308,0.2985203
augmented_cluster_7_4460.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4460.BMP,O-,Loop,0.35307908,0.33661392,0.310307,0.35307908
augmented_cluster_7_4067.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4067.BMP,O-,Whorl,0.39166257,0.290269,0.39166257,0.3180685
augmented_cluster_7_4325.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4325.BMP,O-,Loop,0.41652814,0.2807408,0.30273113,0.41652814
augmented_cluster_7_4132.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4132.BMP,O-,Whorl,0.36000782,0.33634013,0.36000782,0.30365208
augmented_cluster_7_4131.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4131.BMP,O-,Whorl,0.35427338,0.34236276,0.35427338,0.30336395
augmented_cluster_7_4431.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4431.BMP,O-,Loop,0.3713375,0.29019895,0.33846352,0.3713375
augmented_cluster_7_4199.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4199.BMP,O-,Loop,0.39560115,0.259203,0.34519583,0.39560115
augmented_cluster_7_4219.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4219.BMP,O-,Loop,0.3855426,0.29385993,0.3205975,0.3855426
augmented_cluster_7_4081.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4081.BMP,O-,Whorl,0.3620174,0.3103254,0.3620174,0.32765713
augmented_cluster_7_442.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_442.BMP,O-,Loop,0.34926432,0.3184589,0.33227676,0.34926432
augmented_cluster_7_4452.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4452.BMP,O-,Whorl,0.36659044,0.31915092,0.36659044,0.3142587
augmented_cluster_7_4061.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4061.BMP,O-,Loop,0.41537842,0.28111148,0.30351007,0.41537842
augmented_cluster_7_430.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_430.BMP,O-,Arc,0.34599897,0.34599897,0.3313349,0.32266617
